"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","25","811-2115-5-ND","OKR-T/3-W12-C","DC DC CONVERTER 0.59-6V 15W","","25","0","6.01000","150.25"
"2","25","732-8938-1-ND","860020572004","CAP ALUM 22UF 20% 35V RADIAL","","25","0","0.11000","2.75"
"3","25","445-173261-1-ND","FG18X7R1E105KRT06","CAP CER 1UF 25V X7R RADIAL","","25","0","0.23700","5.93"
"4","25","SMBJ5.0ALFCT-ND","SMBJ5.0A","TVS DIODE 5V 9.2V DO214AA","","25","0","0.27560","6.89"
"5","200","C5SMF-RJF-CT0W0BB2CT-ND","C5SMF-RJF-CT0W0BB2","LED RED CLEAR 5MM OVAL T/H","","200","0","0.12160","24.32"
"6","25","MF-MSMF250/16X-2CT-ND","MF-MSMF250/16X-2","PTC RESET FUSE 16V 2.5A 1812","","25","0","0.71900","17.98"
"7","200","2N7000FS-ND","2N7000","MOSFET N-CH 60V 200MA TO-92","","200","0","0.24990","49.98"
"8","250","BC4555CT-ND","MRS16000C3901FCT00","RES 3.9K OHM 1% 0.4W AXIAL","","250","0","0.05916","14.79"
"9","500","BC4552CT-ND","MRS16000C2700FCT00","RES 270 OHM 1% 0.4W AXIAL","","500","0","0.04662","23.31"
"10","25","CAT24C128WI-GT3CT-ND","CAT24C128WI-GT3","IC EEPROM 128K I2C 1MHZ 8SOIC","","25","0","0.30900","7.73"
"11","75","450-1650-ND","1825910-6","SWITCH TACTILE SPST-NO 0.05A 24V","","75","0","0.09400","7.05"
"12","25","S5534-ND","PPTC202LJBN-RC","CONN HDR 40POS 0.1 TIN PCB R/A","","25","0","2.32600","58.15"
"13","50","S7012-ND","PPTC141LFBN-RC","CONN HDR 14POS 0.1 TIN PCB","","50","0","0.80300","40.15"
"14","25","S1012EC-30-ND","PREC030SAAN-RC","CONN HEADER VERT 30POS 2.54MM","","0","25","0.48120","12.03"
"15","50","S7002-ND","PPTC041LFBN-RC","CONN HDR 4POS 0.1 TIN PCB","","50","0","0.42400","21.20"
"16","50","S7036-ND","PPPC031LFBN-RC","CONN HDR 3POS 0.1 GOLD PCB","","50","0","0.35100","17.55"
"17","50","S7070-ND","PPTC022LFBN-RC","CONN HDR 4POS 0.1 TIN PCB","","50","0","0.53500","26.75"
"18","25","S5673-ND","NPTC032KFMS-RC","CONN HDR 6POS 0.1 TIN SMD","","25","0","0.84200","21.05"
"19","25","609-5602-ND","54202-G08-03","CONN HEADER SMD 6POS 2.54MM","","25","0","0.34200","8.55"
"20","25","609-4723-ND","54202-G0805LF","CONN HEADER SMD 10POS 2.54MM","","25","0","0.67300","16.83"
"21","25","609-4723-ND","54202-G0805LF","CONN HEADER SMD 10POS 2.54MM","","25","0","0.67300","16.83"
"22","25","S5678-ND","NPTC082KFMS-RC","CONN HDR 16POS 0.1 TIN SMD","","25","0","1.71100","42.78"
"23","6","S1033E-06-ND","GBC06SABN-M30","CONN HEADER SMD 6POS 2.54MM","","6","0","0.84000","5.04"